Code,OI/LO/KUSP,,,
OI.3.GQ.7.LO.7.U.1.K.8,"Relationships between geometric objects can be communicated by using
- a small square symbol at the intersection of perpendicular lines
- the same number of arrow head symbols on two or more parallel lines
- the symbolic notation of perpendicular lines, e.g., A↔B ⊥ E↔F
- the symbolic notation of parallel lines, e.g., C↔D ∥ J↔K",,,
OI.3.GQ.7.LO.7.U.1.SP.1,"Differentiate between straight lines, rays, line segments, angles, and polygons.",,,
OI.3.GQ.7.LO.7.U.1.SP.2,"Model geometric objects, using hands-on materials or a digital geometry environment.",,,
OI.3.GQ.7.LO.7.U.1.SP.3,"Identify straight lines, rays, line segments, angles, and triangles, using symbols and symbolic notation.",,,
OI.3.GQ.7.LO.7.U.1.SP.4,"Represent relationships between geometric objects, using symbols and symbolic notation.",,,
OI.3.GQ.7.LO.7.U.2,Relationships between geometric objects can be found at intersections.,,,
OI.3.GQ.7.LO.7.U.2.K.1,A point common to two or more geometric objects is called an intersection.,,,
OI.3.GQ.7.LO.7.U.2.K.2,"Angle relationships at the intersection of straight lines, line segments, or rays include
- opposite angles, which are congruent
- adjacent angles, which are supplementary",,,
OI.3.GQ.7.LO.7.U.2.K.3,"A transversal is a straight line, line segment, or ray that intersects two or more parallel lines.",,,
OI.3.GQ.7.LO.7.U.2.K.4,"Angle relationships at the intersections of a transversal and two or more parallel lines include congruent corresponding angles, which are in the same relative position at each point of intersection.",,,
OI.3.GQ.7.LO.7.U.2.SP.1,Investigate angle relationships at the intersection of two straight lines.,,,
OI.3.GQ.7.LO.7.U.2.SP.2,Identify corresponding angles at intersections of parallel lines and a transversal.,,,
OI.3.GQ.7.LO.7.U.2.SP.3,"Verify that two lines are parallel, using angles at intersections of a transversal.",,,
OI.3.GQ.7.LO.7.U.2.SP.4,"Model angle relationships, using hands-on materials or a digital geometry environment.",,,
OI.3.GQ.7.LO.7.U.2.SP.5,Solve problems involving angle relationships at intersections.,,,
OI.3.GQ.7.LO.7.U.3,Congruence of geometric objects can be verified through symbols and symbolic notation.,,,
OI.3.GQ.7.LO.7.U.3.K.1,"In congruent polygons, corresponding
- vertices, sides, and angles are in the same relative position
- side measures are equal
- angle measures are equal",,,
OI.3.GQ.7.LO.7.U.3.K.2,"Congruence of geometric objects can be represented with symbols, including
- the same number of arcs on congruent angles
- the same number of hash marks on congruent line segments",,,
OI.3.GQ.7.LO.7.U.3.K.3,"Symbolic notation can be used to communicate congruence of geometric objects, including
- congruent angles, e.g., ∠ABC ≅ ∠RST
- congruent sides, e.g., A‾B ≅ R‾S
- congruent rectangles, e.g., ABCD ≅ RSTU
- congruent triangles, e.g., △ABC ≅ △RST",,,
OI.3.GQ.7.LO.7.U.3.SP.1,Identify corresponding sides and corresponding angles of congruent polygons.,,,
OI.3.GQ.7.LO.7.U.3.SP.2,Identify congruent angles and congruent line segments indicated with symbols in congruent polygons.,,,
OI.3.GQ.7.LO.7.U.3.SP.3,"Verify that geometric objects are congruent, using symbolic notation.",,,
OI.3.GQ.7.LO.7.U.3.SP.4,Solve problems involving congruent polygons.,,,
OI.4,"Measurement: Attributes such as length, area, volume, and angle are quantified by measurement.",,,
OI.4.GQ.8,In what ways can measurable attributes of circles influence perspectives of size?,,,
OI.4.GQ.8.LO.8,Students interpret and explain area and circumference of circles.,,,
OI.4.GQ.8.LO.8.U.1,The size of a circle is determined by its radius.,,,
OI.4.GQ.8.LO.8.U.1.K.1,"A circle is a 2-D shape structured by a set of points that are all the same distance from one point, known as the centre.",,,
OI.4.GQ.8.LO.8.U.1.K.2,The perimeter of a circle is called circumference.,,,
OI.4.GQ.8.LO.8.U.1.K.3,The radius of a circle is the distance from the centre to any point on the circle.,,,
OI.4.GQ.8.LO.8.U.1.K.4,"The diameter is the distance across a circle, through the centre, and is twice the length of the radius.",,,
OI.4.GQ.8.LO.8.U.1.K.5,Area and circumference are different interpretations of the size of a circle.,,,
OI.4.GQ.8.LO.8.U.1.K.6,There is a constant ratio π(pi) that relates the circumference of any circle and its diameter.,,,
OI.4.GQ.8.LO.8.U.1.K.7,"The circumference of a circle can be expressed as the product of its diameter and π, represented symbolically as C=πD",,,
OI.4.GQ.8.LO.8.U.1.K.8,The area of a circle can be divided into equal sized pie-shaped slices (sectors) and rearranged to form an approximation of a parallelogram.,,,
OI.4.GQ.8.LO.8.U.1.K.9,"The area of a circle can be expressed as the product of the square of its radius and π, represented symbolically as A=πr2",,,
OI.4.GQ.8.LO.8.U.1.SP.1,"Create circles, given the radius, using a compass or a digital geometry environment.",,,
OI.4.GQ.8.LO.8.U.1.SP.2,Investigate the relationship between the circumference of a circle and its diameter.,,,
OI.4.GQ.8.LO.8.U.1.SP.3,"Determine the diameter of a circle, given its circumference and using 3.14 as an approximation for π.",,,
OI.4.GQ.8.LO.8.U.1.SP.4,Derive the symbolic notation to calculate the area of a circle from the area of a parallelogram.,,,
OI.4.GQ.8.LO.8.U.1.SP.5,"Calculate the area and circumference of a circle, given its radius or diameter and using 3.14 as an approximation for π.",,,
OI.4.GQ.8.LO.8.U.1.SP.6,Solve problems involving circumference and area of circles.,,,
OI.4.GQ.9,In what ways can area provide perspectives of volume?,,,
OI.4.GQ.9.LO.9,Students analyze volume of right prisms and right cylinders.,,,
OI.4.GQ.9.LO.9.U.1,The volume of a prism or cylinder can be explained as a product of dimensions.,,,
OI.4.GQ.9.LO.9.U.1.K.1,A prism is a solid 3-D shape with rectangular lateral faces and two parallel congruent polygonal bases.,,,
OI.4.GQ.9.LO.9.U.1.K.2,"The base of a prism can be any polygon, including rectangles and triangles.",,,
OI.4.GQ.9.LO.9.U.1.K.3,A prism is named according to the shape of its base.,,,
OI.4.GQ.9.LO.9.U.1.K.4,Any face of a rectangular prism can be interpreted as the base.,,,
OI.4.GQ.9.LO.9.U.1.K.5,A cylinder is a solid 3-D shape with one curved lateral surface and parallel congruent circular bases.,,,
OI.4.GQ.9.LO.9.U.1.K.6,"Dimensions of a rectangular prism are its length, width, and height.",,,
OI.4.GQ.9.LO.9.U.1.K.7,Dimensions of a cylinder are its radius and height.,,,
OI.4.GQ.9.LO.9.U.1.K.8,Dimensions can be used for calculating the volume of a 3-D shape.,,,
OI.4.GQ.9.LO.9.U.1.K.9,The dimensions of a 3-D shape must be measured in the same units to calculate volume.,,,
OI.4.GQ.9.LO.9.U.1.K.10,The volume of a prism can be represented as the volume of a single layer of 1 × 1 × 1 cubes multiplied by the total number of layers.,,,
OI.4.GQ.9.LO.9.U.1.K.11,"The volume of any prism or cylinder can be generalized as the product of the area of the base and the perpendicular height of the prism or cylinder, represented symbolically as V=Bh",,,
OI.4.GQ.9.LO.9.U.1.SP.1,Relate the name of a prism to the shape of its base.,,,
OI.4.GQ.9.LO.9.U.1.SP.2,Differentiate the lateral faces and lateral surfaces from the bases of prisms and cylinders oriented in various ways.,,,
OI.4.GQ.9.LO.9.U.1.SP.3,"Model volume of rectangular prisms by iterating the volume of a single layer, using hands-on materials or a digital geometry environment.",,,
OI.4.GQ.9.LO.9.U.1.SP.4,"Calculate the volume of rectangular prisms, triangular prisms, and cylinders.",,,
OI.4.GQ.9.LO.9.U.1.SP.5,"Determine the area of the base of rectangular prisms, triangular prisms, and cylinders, given volume and height.",,,
OI.4.GQ.9.LO.9.U.1.SP.6,"Determine the height of rectangular prisms, triangular prisms, and cylinders, given volume and area of the base.",,,
OI.4.GQ.9.LO.9.U.1.SP.7,Solve problems involving volume of prisms and cylinders.,,,
OI.5,Functions: Functions model relationships between changing quantities in real-world situations.,,,
OI.5.GQ.10,In what ways can functions be characterized?,,,
OI.5.GQ.10.LO.10,Students interpret functions through domain and range.,,,
OI.5.GQ.10.LO.10.U.1,Domain and range are attributes of a function.,,,
OI.5.GQ.10.LO.10.U.1.K.1,"The independent and dependent variables, respectively, represent the input and output values of a function.",,,
OI.5.GQ.10.LO.10.U.1.K.2,A relation is any correspondence between two changing quantities represented by input values and output values.,,,
OI.5.GQ.10.LO.10.U.1.K.3,A function is a relation where each input value corresponds to exactly one output value.,,,
OI.5.GQ.10.LO.10.U.1.K.4,The domain of a function is the set of all possible input values and can be communicated in words.,,,
OI.5.GQ.10.LO.10.U.1.K.5,The range of a function is the set of all possible output values and can be communicated in words.,,,
OI.5.GQ.10.LO.10.U.1.K.6,A function can be discrete or continuous.,,,
OI.5.GQ.10.LO.10.U.1.K.7,"Domain and range can be discrete or continuous, and the maximum and minimum values can be restricted to model a real-world situation.",,,
OI.5.GQ.10.LO.10.U.1.K.8,"Domain and range can be interpreted from various representations of a function, including
- ordered pairs
- a table of values
- a graph
- a real-world situation",,,
OI.5.GQ.10.LO.10.U.1.K.9,The graph of a discrete function is the set of points described by ordered pairs.,,,
OI.5.GQ.10.LO.10.U.1.K.10,The graph of a continuous function is a line that connects all points described by ordered pairs.,,,
OI.5.GQ.10.LO.10.U.1.K.11,"The graph of a function will be intersected at no more than one point by a vertical line drawn on the Cartesian plane, known as the vertical line test.",,,
OI.5.GQ.10.LO.10.U.1.SP.1,Distinguish between discrete and continuous functions.,,,
OI.5.GQ.10.LO.10.U.1.SP.2,Describe the domain and range of a function.,,,
OI.5.GQ.10.LO.10.U.1.SP.3,Describe restrictions on the domain and range of a function that models a real-world situation.,,,
OI.5.GQ.10.LO.10.U.1.SP.4,"Graph a function that models a real-world situation, given a table of values.",,,
OI.5.GQ.10.LO.10.U.1.SP.5,Determine whether a relation is a function.,,,
OI.6,"Statistics: The science of collecting, analyzing, visualizing, and interpreting data can inform understanding and decision making.",,,
OI.6.GQ.11,How can statistics support generalizations?,,,
OI.6.GQ.11.LO.11,Students interpret sample data.,,,
OI.6.GQ.11.LO.11.U.1,Samples can represent populations.,,,
OI.6.GQ.11.LO.11.U.1.K.1,"A population is a complete set of elements, such as people, animals, objects, or events, that are the focus of a statistical question.",,,
OI.6.GQ.11.LO.11.U.1.K.2,"A population is defined by one or more shared characteristics, such as age, location, time, or type.",,,
OI.6.GQ.11.LO.11.U.1.K.3,A census is the collection of data from an entire population.,,,
OI.6.GQ.11.LO.11.U.1.K.4,A sample is a subset of a population.,,,
OI.6.GQ.11.LO.11.U.1.K.5,"A sample can be used in place of a population when a census would be
- too costly
- too time-consuming
- too difficult",,,
